consumer,consumer_row,consumer_frequency,consumer_scope,reference,resolved_entity,resolved_frequency,resolved_scope,reference_scope,relationship,expected_resolution,status,result
retirada_condensado_linha,46,diário,linha/L2,lth@L3,lth (linha 9),diário,linha/L1_L7,"linha/L1_L7 (diário, linha 9)",explícita-linha,lth@L3,PASS,PASS
retirada_condensado_linha,47,diário,linha/L3,retirada_condensado_grupo@L1_L3,retirada_condensado_grupo (linha 22),diário,linha_grupo/L1_L3,"linha_grupo/L1_L3 (diário, linha 22)",explícita-grupo,retirada_condensado_grupo@L1_L3,PASS,PASS
retirada_condensado_linha,47,diário,linha/L3,lth@L3,lth (linha 9),diário,linha/L1_L7,"linha/L1_L7 (diário, linha 9)",explícita-linha,lth@L3,PASS,PASS
retirada_condensado_linha,47,diário,linha/L3,lth@L1,lth (linha 9),diário,linha/L1_L7,"linha/L1_L7 (diário, linha 9)",explícita-linha,lth@L1,PASS,PASS
retirada_condensado_linha,47,diário,linha/L3,lth@L2,lth (linha 9),diário,linha/L1_L7,"linha/L1_L7 (diário, linha 9)",explícita-linha,lth@L2,PASS,PASS
retirada_condensado_linha,48,diário,linha/L4,retirada_condensado_grupo@L4_L5,retirada_condensado_grupo (linha 39),diário,linha_grupo/L4_L5,"linha_grupo/L4_L5 (diário, linha 39)",explícita-grupo,retirada_condensado_grupo@L4_L5,PASS,PASS
retirada_condensado_linha,48,diário,linha/L4,lth@L4,lth (linha 9),diário,linha/L1_L7,"linha/L1_L7 (diário, linha 9)",explícita-linha,lth@L4,PASS,PASS
retirada_condensado_linha,48,diário,linha/L4,lth@L5,lth (linha 9),diário,linha/L1_L7,"linha/L1_L7 (diário, linha 9)",explícita-linha,lth@L5,PASS,PASS
retirada_condensado_linha,49,diário,linha/L5,retirada_condensado_grupo@L4_L5,retirada_condensado_grupo (linha 39),diário,linha_grupo/L4_L5,"linha_grupo/L4_L5 (diário, linha 39)",explícita-grupo,retirada_condensado_grupo@L4_L5,PASS,PASS
retirada_condensado_linha,49,diário,linha/L5,lth@L5,lth (linha 9),diário,linha/L1_L7,"linha/L1_L7 (diário, linha 9)",explícita-linha,lth@L5,PASS,PASS
retirada_condensado_linha,49,diário,linha/L5,lth@L4,lth (linha 9),diário,linha/L1_L7,"linha/L1_L7 (diário, linha 9)",explícita-linha,lth@L4,PASS,PASS
retirada_condensado_linha,50,diário,linha/L6,retirada_condensado_grupo@L6_L7,retirada_condensado_grupo (linha 42),diário,linha_grupo/L6_L7,"linha_grupo/L6_L7 (diário, linha 42)",explícita-grupo,retirada_condensado_grupo@L6_L7,PASS,PASS
retirada_condensado_linha,50,diário,linha/L6,lth@L6,lth (linha 9),diário,linha/L1_L7,"linha/L1_L7 (diário, linha 9)",explícita-linha,lth@L6,PASS,PASS
retirada_condensado_linha,50,diário,linha/L6,lth@L7,lth (linha 9),diário,linha/L1_L7,"linha/L1_L7 (diário, linha 9)",explícita-linha,lth@L7,PASS,PASS
retirada_condensado_linha,51,diário,linha/L7,retirada_condensado_grupo@L6_L7,retirada_condensado_grupo (linha 42),diário,linha_grupo/L6_L7,"linha_grupo/L6_L7 (diário, linha 42)",explícita-grupo,retirada_condensado_grupo@L6_L7,PASS,PASS
retirada_condensado_linha,51,diário,linha/L7,lth@L7,lth (linha 9),diário,linha/L1_L7,"linha/L1_L7 (diário, linha 9)",explícita-linha,lth@L7,PASS,PASS
retirada_condensado_linha,51,diário,linha/L7,lth@L6,lth (linha 9),diário,linha/L1_L7,"linha/L1_L7 (diário, linha 9)",explícita-linha,lth@L6,PASS,PASS
retirada_condensado_total,54,diário,linha_grupo/L1_L7,retirada_condensado_grupo@L1_L3,retirada_condensado_grupo (linha 22),diário,linha_grupo/L1_L3,"linha_grupo/L1_L3 (diário, linha 22)",explícita-grupo,retirada_condensado_grupo@L1_L3,PASS,PASS
retirada_condensado_total,54,diário,linha_grupo/L1_L7,retirada_condensado_grupo@L4_L5,retirada_condensado_grupo (linha 39),diário,linha_grupo/L4_L5,"linha_grupo/L4_L5 (diário, linha 39)",explícita-grupo,retirada_condensado_grupo@L4_L5,PASS,PASS
retirada_condensado_total,54,diário,linha_grupo/L1_L7,retirada_condensado_grupo@L6_L7,retirada_condensado_grupo (linha 42),diário,linha_grupo/L6_L7,"linha_grupo/L6_L7 (diário, linha 42)",explícita-grupo,retirada_condensado_grupo@L6_L7,PASS,PASS
