equation_id,equation_definition_id,target_variable,scope_type,scope_value,dependencies,dependency_scopes,producer_ids,execution_order,status,executable,gap_id
EQ11053@linha_grupo:L6_L7,EQ11053,ssa_sf,linha_grupo,L6_L7,,VAR11009@L6; VAR11009@L7,,66,PUBLISHED,YES,
EQ11054@linha_grupo:L6_L7,EQ11054,ssa_sg,linha_grupo,L6_L7,,VAR11010@L6; VAR11010@L7,,67,PUBLISHED,YES,
EQ11057@linha_grupo:L6_L7,EQ11057,eoc_solids,linha_grupo,L6_L7,,VAR11014@L6; VAR11014@L7,,68,PUBLISHED,YES,
EQ11061@linha_grupo:L1_L3,EQ11061,lth_base,linha_grupo,L1_L3,,VAR11082@L1; VAR11082@L2; VAR11082@L3,,69,PUBLISHED,YES,
EQ11062@linha_grupo:L1_L3,EQ11062,oee_base,linha_grupo,L1_L3,,VAR11083@L1; VAR11083@L2; VAR11083@L3,,70,PUBLISHED,YES,
EQ11063@linha_grupo:L1_L3,EQ11063,ltp_lth_base,linha_grupo,L1_L3,,VAR11084@L1; VAR11084@L2; VAR11084@L3,,71,PUBLISHED,YES,
EQ11064@linha_grupo:L1_L3,EQ11064,ltp_tc_base,linha_grupo,L1_L3,,PARAM11002@L1; PARAM11002@L2; PARAM11002@L3,,72,PUBLISHED,YES,
EQ11065@linha_grupo:L1_L3,EQ11065,ltp_a_c_base,linha_grupo,L1_L3,,VAR11085@L1; VAR11085@L2; VAR11085@L3,,73,PUBLISHED,YES,
EQ11066@linha_grupo:L1_L3,EQ11066,sl_solids_base,linha_grupo,L1_L3,,VAR11086@L1; VAR11086@L2; VAR11086@L3,,74,PUBLISHED,YES,
EQ11067@linha_grupo:L1_L3,EQ11067,ratio_spent_base,linha_grupo,L1_L3,,VAR11087@L1; VAR11087@L2; VAR11087@L3,,75,PUBLISHED,YES,
EQ11068@linha_grupo:L1_L3,EQ11068,ssa_sf_base,linha_grupo,L1_L3,,VAR11088@L1; VAR11088@L2; VAR11088@L3,,76,PUBLISHED,YES,
EQ11069@linha_grupo:L1_L3,EQ11069,ssa_sg_base,linha_grupo,L1_L3,,VAR11089@L1; VAR11089@L2; VAR11089@L3,,77,PUBLISHED,YES,
EQ11071@linha_grupo:L1_L3,EQ11071,n_ppt_base,linha_grupo,L1_L3,,VAR11091@L1; VAR11091@L2; VAR11091@L3,,78,PUBLISHED,YES,
EQ11072@linha_grupo:L1_L3,EQ11072,eoc_temp_base,linha_grupo,L1_L3,,VAR11092@L1; VAR11092@L2; VAR11092@L3,,79,PUBLISHED,YES,
EQ11073@linha_grupo:L1_L3,EQ11073,eoc_solids_base,linha_grupo,L1_L3,,VAR11093@L1; VAR11093@L2; VAR11093@L3,,80,PUBLISHED,YES,
EQ11077@linha_grupo:L4_L5,EQ11077,lth_base,linha_grupo,L4_L5,,VAR11082@L4; VAR11082@L5,,81,PUBLISHED,YES,
EQ11078@linha_grupo:L4_L5,EQ11078,oee_base,linha_grupo,L4_L5,,VAR11083@L4; VAR11083@L5,,82,PUBLISHED,YES,
EQ11079@linha_grupo:L4_L5,EQ11079,ltp_lth_base,linha_grupo,L4_L5,,VAR11084@L4; VAR11084@L5,,83,PUBLISHED,YES,
