consumidor,linha_consumidor,referencia,frequencia_consumidor,escopo_consumidor,modo,produtor_resolvido,frequencia_produtor,escopo_produtor,instancia_lida,temporal,produtor_plataforma,deterministico,independente_igual_plataforma
retirada_condensado_linha@L2,46,lth@L2,diário,linha/L2,explícita,lth (linha 9),diário,linha/L1_L7,linha/L2,mesma frequência,lth (linha 9),sim,sim
retirada_condensado_linha@L2,46,lth@L1,diário,linha/L2,explícita,lth (linha 9),diário,linha/L1_L7,linha/L1,mesma frequência,lth (linha 9),sim,sim
retirada_condensado_linha@L2,46,lth@L3,diário,linha/L2,explícita,lth (linha 9),diário,linha/L1_L7,linha/L3,mesma frequência,lth (linha 9),sim,sim
retirada_condensado_linha@L3,47,retirada_condensado_grupo@L1_L3,diário,linha/L3,explícita,retirada_condensado_grupo (linha 22),diário,linha_grupo/L1_L3,linha_grupo/L1_L3,mesma frequência,retirada_condensado_grupo (linha 22),sim,sim
retirada_condensado_linha@L3,47,lth@L3,diário,linha/L3,explícita,lth (linha 9),diário,linha/L1_L7,linha/L3,mesma frequência,lth (linha 9),sim,sim
retirada_condensado_linha@L3,47,lth@L1,diário,linha/L3,explícita,lth (linha 9),diário,linha/L1_L7,linha/L1,mesma frequência,lth (linha 9),sim,sim
retirada_condensado_linha@L3,47,lth@L2,diário,linha/L3,explícita,lth (linha 9),diário,linha/L1_L7,linha/L2,mesma frequência,lth (linha 9),sim,sim
retirada_condensado_linha@L4,48,retirada_condensado_grupo@L4_L5,diário,linha/L4,explícita,retirada_condensado_grupo (linha 39),diário,linha_grupo/L4_L5,linha_grupo/L4_L5,mesma frequência,retirada_condensado_grupo (linha 39),sim,sim
retirada_condensado_linha@L4,48,lth@L4,diário,linha/L4,explícita,lth (linha 9),diário,linha/L1_L7,linha/L4,mesma frequência,lth (linha 9),sim,sim
retirada_condensado_linha@L4,48,lth@L5,diário,linha/L4,explícita,lth (linha 9),diário,linha/L1_L7,linha/L5,mesma frequência,lth (linha 9),sim,sim
retirada_condensado_linha@L5,49,retirada_condensado_grupo@L4_L5,diário,linha/L5,explícita,retirada_condensado_grupo (linha 39),diário,linha_grupo/L4_L5,linha_grupo/L4_L5,mesma frequência,retirada_condensado_grupo (linha 39),sim,sim
retirada_condensado_linha@L5,49,lth@L5,diário,linha/L5,explícita,lth (linha 9),diário,linha/L1_L7,linha/L5,mesma frequência,lth (linha 9),sim,sim
retirada_condensado_linha@L5,49,lth@L4,diário,linha/L5,explícita,lth (linha 9),diário,linha/L1_L7,linha/L4,mesma frequência,lth (linha 9),sim,sim
retirada_condensado_linha@L6,50,retirada_condensado_grupo@L6_L7,diário,linha/L6,explícita,retirada_condensado_grupo (linha 42),diário,linha_grupo/L6_L7,linha_grupo/L6_L7,mesma frequência,retirada_condensado_grupo (linha 42),sim,sim
retirada_condensado_linha@L6,50,lth@L6,diário,linha/L6,explícita,lth (linha 9),diário,linha/L1_L7,linha/L6,mesma frequência,lth (linha 9),sim,sim
retirada_condensado_linha@L6,50,lth@L7,diário,linha/L6,explícita,lth (linha 9),diário,linha/L1_L7,linha/L7,mesma frequência,lth (linha 9),sim,sim
retirada_condensado_linha@L7,51,retirada_condensado_grupo@L6_L7,diário,linha/L7,explícita,retirada_condensado_grupo (linha 42),diário,linha_grupo/L6_L7,linha_grupo/L6_L7,mesma frequência,retirada_condensado_grupo (linha 42),sim,sim
retirada_condensado_linha@L7,51,lth@L7,diário,linha/L7,explícita,lth (linha 9),diário,linha/L1_L7,linha/L7,mesma frequência,lth (linha 9),sim,sim
retirada_condensado_linha@L7,51,lth@L6,diário,linha/L7,explícita,lth (linha 9),diário,linha/L1_L7,linha/L6,mesma frequência,lth (linha 9),sim,sim
retirada_condensado_total@L1_L7,54,retirada_condensado_grupo@L1_L3,diário,linha_grupo/L1_L7,explícita,retirada_condensado_grupo (linha 22),diário,linha_grupo/L1_L3,linha_grupo/L1_L3,mesma frequência,retirada_condensado_grupo (linha 22),sim,sim
retirada_condensado_total@L1_L7,54,retirada_condensado_grupo@L4_L5,diário,linha_grupo/L1_L7,explícita,retirada_condensado_grupo (linha 39),diário,linha_grupo/L4_L5,linha_grupo/L4_L5,mesma frequência,retirada_condensado_grupo (linha 39),sim,sim
retirada_condensado_total@L1_L7,54,retirada_condensado_grupo@L6_L7,diário,linha_grupo/L1_L7,explícita,retirada_condensado_grupo (linha 42),diário,linha_grupo/L6_L7,linha_grupo/L6_L7,mesma frequência,retirada_condensado_grupo (linha 42),sim,sim
